pk,classe,indicateurproduitfini,info
999,N/A,0,Non-Applicable
1,Portes vitrees,1,
2,Fenetres vitrees,1,
3,Murs rideaux,1,
4,Cloisons,1,
5,Panneaux composites,1,
6,Bois melamine,1,
7,Faux plafonds,1,
8,Faux planchers,1,
9,Films,1,
10,Couvres joint de dilatation,1,
11,Polycarbonates,1,
12,Abris auto,1,
13,Stop parking,1,
14,Gardes corps,1,
15,Brise soleil,1,
16,Store,1,
17,Profiles alu,0,
18,Divers profiles,0,
19,Verre,1,Peut etre utilise dans la production ou vendu separement
20,Accessoires,0,
21,Divers produits bruts,0,
22,Divers produits finis,1,
