pk,produit_pk,materiel_pk,quantiteMateriel
1,1,11,5.1
2,1,12,5.1
3,1,13,0.7
4,1,14,7.2
5,1,15,2.2
6,1,16,0.7
7,1,41,1
8,1,42,1
9,1,43,1
10,1,44,1
11,1,45,1
12,1,46,1
13,1,53,1.54
14,1,56,1.54
15,2,11,5.5
16,2,12,5.5
17,2,13,0.7
18,2,14,7.6
19,2,15,2.2
20,2,16,0.7
21,2,41,1
22,2,42,1
23,2,43,1
24,2,44,1
25,2,45,1
26,2,46,1
27,2,53,1.68
28,2,56,1.68
29,3,11,5.2
30,3,12,5.2
31,3,13,0.8
32,3,14,7.6
33,3,15,2.2
34,3,16,0.8
35,3,41,1
36,3,42,1
37,3,43,1
38,3,44,1
39,3,45,1
40,3,46,1
41,3,53,1.76
42,3,56,1.76
43,4,11,5.6
44,4,12,5.6
45,4,13,0.8
46,4,14,8
47,4,15,2.4
48,4,16,0.8
49,4,41,1
50,4,42,1
51,4,43,1
52,4,44,1
53,4,45,1
54,4,46,1
55,4,53,1.92
56,4,56,1.92
57,5,11,5.3
58,5,12,5.3
59,5,13,0.9
60,5,14,8
61,5,15,2.2
62,5,16,0.9
63,5,41,1
64,5,42,1
65,5,43,1
66,5,44,1
67,5,45,1
68,5,46,1
69,5,53,1.98
70,5,56,1.98
71,6,11,5.7
72,6,12,5.7
73,6,13,0.9
74,6,14,8.4
75,6,15,2.4
76,6,16,0.9
77,6,41,1
78,6,42,1
79,6,43,1
80,6,44,1
81,6,45,1
82,6,46,1
83,6,53,2.16
84,6,56,2.16
85,7,11,5.8
86,7,12,11.6
87,7,13,1.2
88,7,14,12.8
89,7,15,2.2
90,7,16,1.2
91,7,41,1
92,7,42,1
93,7,43,1
94,7,44,1
95,7,45,1
96,7,46,1
97,7,53,2.64
98,7,56,2.64
99,8,11,6
100,8,12,12
101,8,13,1.2
102,8,14,13
103,8,15,2.4
104,8,16,1.2
105,8,41,1
106,8,42,1
107,8,43,1
108,8,44,1
109,8,45,1
110,8,46,1
111,8,53,2.88
112,8,56,2.88
113,9,11,5.8
114,9,12,11.6
115,9,13,1.4
116,9,14,13
117,9,15,2.2
118,9,16,1.4
119,9,41,1
120,9,42,1
121,9,43,1
122,9,44,1
123,9,45,1
124,9,46,1
125,9,53,3.08
126,9,56,3.08
127,10,11,6.2
128,10,12,12.4
129,10,13,1.4
130,10,14,20.08
131,10,15,2.4
132,10,16,1.4
133,10,41,1
134,10,42,1
135,10,43,1
136,10,44,1
137,10,45,1
138,10,46,1
139,10,53,3.36
140,10,56,3.36
141,11,11,6
142,11,12,12
143,11,13,1.6
144,11,14,18.4
145,11,15,2.2
146,11,16,1.6
147,11,41,1
148,11,42,1
149,11,43,1
150,11,44,1
151,11,45,1
152,11,46,1
153,11,53,3.52
154,11,56,3.52
155,12,11,6.4
156,12,12,12.8
157,12,13,1.6
158,12,14,22.4
159,12,15,2.4
160,12,16,1.6
161,12,41,1
162,12,42,1
163,12,43,1
164,12,44,1
165,12,45,1
166,12,46,1
167,12,53,3.84
168,12,56,3.84
169,13,11,6.2
170,13,12,12.4
171,13,13,1.8
172,13,14,23.2
173,13,15,2.2
174,13,16,1.8
175,13,41,1
176,13,42,1
177,13,43,1
178,13,44,1
179,13,45,1
180,13,46,1
181,13,53,3.96
182,13,56,3.96
183,14,11,6.6
184,14,12,13.2
185,14,13,1.8
186,14,14,24
187,14,15,2.4
188,14,16,1.8
189,14,41,1
190,14,42,1
191,14,43,1
192,14,44,1
193,14,45,1
194,14,46,1
195,14,53,4.32
196,14,56,4.32
197,15,1,7.2
198,15,2,8.8
199,15,3,4.4
200,15,4,2.8
201,15,41,1
202,15,42,1
203,15,43,1
204,15,44,1
205,15,45,1
206,15,46,1
207,15,53,3.08
208,15,56,3.08
209,16,1,7.6
210,16,2,8.8
211,16,3,4.4
212,16,4,3.2
213,16,41,1
214,16,42,1
215,16,43,1
216,16,44,1
217,16,45,1
218,16,46,1
219,16,53,3.52
220,16,56,3.52
221,17,1,8
222,17,2,8.8
