largeur,hauteur,profondeur
60,60,
60,80,
60,100,
60,120,
60,140,
60,160,
60,180,
60,200,
60,220,
60,240,
60,260,
60,280,
60,300,
60,320,
80,60,
80,80,
80,100,
80,120,
80,140,
80,160,
80,180,
80,200,
80,220,
80,240,
80,260,
80,280,
80,300,
80,320,
100,60,
100,80,
100,100,
100,120,
100,140,
100,160,
100,180,
100,200,
100,220,
100,240,
100,260,
100,280,
100,300,
100,320,
120,60,
120,80,
120,100,
120,120,
120,140,
120,160,
120,180,
120,200,
120,220,
120,240,
120,260,
120,280,
120,300,
120,320,
140,60,
140,80,
140,100,
140,120,
140,140,
140,160,
140,180,
140,200,
140,220,
140,240,
140,260,
140,280,
140,300,
140,320,
160,60,
160,80,
160,100,
160,120,
160,140,
160,160,
160,180,
160,200,
160,220,
160,240,
160,260,
160,280,
160,300,
160,320,
180,60,
180,80,
180,100,
180,120,
180,140,
180,160,
180,180,
180,200,
180,220,
180,240,
180,260,
180,280,
180,300,
180,320,
200,60,
200,80,
200,100,
200,120,
200,140,
200,160,
200,180,
200,200,
200,220,
200,240,
200,260,
200,280,
200,300,
200,320,
220,60,
220,80,
220,100,
220,120,
220,140,
220,160,
220,180,
220,200,
220,220,
220,240,
220,260,
220,280,
220,300,
220,320,
240,60,
240,80,
240,100,
240,120,
240,140,
240,160,
240,180,
240,200,
240,220,
240,240,
240,260,
240,280,
240,300,
240,320,
260,60,
260,80,
260,100,
260,120,
260,140,
260,160,
260,180,
260,200,
260,220,
260,240,
260,260,
260,280,
260,300,
260,320,
280,60,
280,80,
280,100,
280,120,
280,140,
280,160,
280,180,
280,200,
280,220,
280,240,
280,260,
280,280,
280,300,
280,320,
300,60,
300,80,
300,100,
300,120,
300,140,
300,160,
300,180,
300,200,
300,220,
300,240,
300,260,
300,280,
300,300,
300,320,
320,60,
320,80,
320,100,
320,120,
320,140,
320,160,
320,180,
320,200,
320,220,
320,240,
320,260,
320,280,
320,300,
320,320,
